Sum of Wheat: Yield,Column Labels,,,,,,,,,
Row Labels,Angola,Brazil,India,Italy,Nigeria,Peru,Sri Lanka,United Kingdom,United States,Grand Total
1275,,,,,,,,0.5635431,,0.5635431
1305,,,,,,,,0.52453893,,0.52453893
1355,,,,,,,,0.42501104,,0.42501104
1405,,,,,,,,0.42770097,,0.42770097
1455,,,,,,,,0.33624288,,0.33624288
1505,,,,,,,,,,
1555,,,,,,,,0.6718133,,0.6718133
1605,,,,,,,,0.7437693,,0.7437693
1655,,,,,,,,0.90516585,,0.90516585
1705,,,,,,,,0.9475325,,0.9475325
1755,,,,,,,,1.0450429,,1.0450429
1805,,,,,,,,1.2575485,,1.2575485
1850,,,,0.67,,,,0.98999995,,1.65999995
1855,,,,,,,,1.7598953,,1.7598953
1865,,,,,,,,1.9791257,,1.9791257
1866,,,,,,,,,,
1867,,,,,,,,,,
1868,,,,,,,,,,
1869,,,,,,,,,,
1870,,,,,,,,,,
1871,,,,,,,,,,
1872,,,,,,,,,,
1873,,,,,,,,,,
1874,,,,,,,,,,
1875,,,,,,,,,,
1876,,,,,,,,,,
1877,,,,,,,,,,
1878,,,,,,,,,,
1879,,,,,,,,,,
1880,,,,,,,,,,
1881,,,,,,,,,,
1882,,,,,,,,,,
1883,,,,,,,,,,
1884,,,,,,,,,,
1885,,,,,,,,,,
1886,,,,,,,,,,
1887,,,,,,,,2.06,,2.06
1888,,,,,,,,,,
1889,,,,,,,,,,
1890,,,,,,,,,,
1891,,,,,,,,,,
1892,,,,,,,,,,
1893,,,,,,,,,,
1894,,,,,,,,,,
1895,,,,,,,,,,
1896,,,,,,,,,,
1897,,,,,,,,,,
1898,,,,,,,,,,
1899,,,,,,,,,,
1900,,,,,,,,,,
1901,,,,,,,,,,
1902,,,,,,,,,,
1903,,,,,,,,,,
1904,,,,,,,,,,
1905,,,,,,,,,,
1906,,,,,,,,,,
1907,,,,,,,,,,
1908,,,,,,,,,,
1909,,,,,,,,,,
1910,,,,,,,,,,
1911,,,,1.0500001,,,,2.1200001,,3.1700002
1912,,,,,,,,2.17,,2.17
1913,,,,,,,,,,
1914,,,,,,,,,,
1915,,,,,,,,,,
1916,,,,,,,,,,
1917,,,,,,,,,,
1918,,,,,,,,,,
1919,,,,,,,,,,
1920,,,,,,,,,,
1921,,,,,,,,,,
1922,,,,,,,,,,
1923,,,,,,,,,,
1924,,,,,,,,,,
1925,,,,,,,,,,
1926,,,,,,,,,,
1927,,,,,,,,,,
1928,,,,,,,,,,
1929,,,,,,,,,,
1930,,,,,,,,,,
1931,,,,,,,,,,
1932,,,,,,,,2.23,,2.23
1933,,,,,,,,,,
1934,,,,1.0100001,,,,2.15,,3.1600001
1935,,,,,,,,,,
1936,,,,,,,,,,
1937,,,,,,,,,,
1938,,,,,,,,,,
1939,,,,,,,,,,
1940,,,,,,,,,,
1941,,,,,,,,,,
1942,,,,,,,,,,
1943,,,,,,,,,,
1944,,,,,,,,2.56,,2.56
1945,,,,,,,,,,
1946,,,,,,,,,,
